song,artist
I'll Be Your Everything,Tommy Page
Nothing Compares 2 U,Sinéad O'Connor
Vogue,Madonna
Hold On,Wilson Phillips
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette
Step by Step,New Kids On The Block
She Ain't Worth It,Glenn Medeiros
Vision of Love,Mariah Carey
If Wishes Came True,Sweet Sensation
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Bon Jovi
Release Me,Wilson Phillips
(Can't Live Without Your) Love And Affection,Nelson
Close To You,Maxi Priest
Praying for Time,George Michael
I Don't Have the Heart,James Ingram
Black Cat,Janet Jackson
Ice Ice Baby,Vanilla Ice
Love Takes Time,Mariah Carey
I'm Your Baby Tonight,Whitney Houston
Because I Love You (The Postman Song),Stevie B
Justify My Love,Madonna
Love Will Never Do (Without You),Janet Jackson
The First Time,Surface
Gonna Make You Sweat (Everybody Dance Now),C & C Music Factory
All The Man That I Need,Whitney Houston
Someday,Mariah Carey
One More Try,Various Artists
Coming Out of the Dark,Gloria Estefan
I've Been Thinking About You,Various Artists
You're In Love,Wilson Phillips
Baby Baby,Amy Grant
Joyride,Roxette
I Like The Way,Hi-Five
I Don't Wanna Cry,Mariah Carey
More Than Words,Extreme
Rush Rush,Paula Abdul
